,description,video_id,origin_title,poster,title
20,https://www.facebook.com/TheHobbitMovie http://www.thehobbit.com From Academy Award®-winning filmmaker Peter Jackson comes “The Hobbit: The Battle of ...,iVAgTiBrrDA,The Hobbit: The Battle of the Five Armies ,https://i.ytimg.com/vi/iVAgTiBrrDA/default.jpg,The Hobbit: The Battle of the Five Armies - Official Main Trailer [HD]
21,"Available in Target stores August 19, 2014 Preview of the exclusive content from the Amazing Spider-Man 2 Target Exclusive Bonus disc. It's great to be ...",-tnxzJ0SSOw,The Amazing Spider-Man ,https://i.ytimg.com/vi/-tnxzJ0SSOw/default.jpg,THE AMAZING SPIDER-MAN 3D - Official Trailer - In Theaters July 3rd
22,"Robin Hood – In theaters November 21, 2018. Starring Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson, Tim Minchin, and Jamie Dornan. Subscribe ...",zwPn9ZnbCo0,Robin Hood ,https://i.ytimg.com/vi/zwPn9ZnbCo0/default.jpg,"Robin Hood (2018 Movie) Official Trailer – Taron Egerton, Jamie Foxx, Jamie Dornan"
23,https://www.facebook.com/TheHobbitMovie http://www.thehobbit.com In theaters December 13th. The second in a trilogy of films adapting the enduringly popular ...,fnaojlfdUbs,The Hobbit: The Desolation of Smaug ,https://i.ytimg.com/vi/fnaojlfdUbs/default.jpg,The Hobbit: The Desolation of Smaug - Official Teaser Trailer [HD]
24,"Film is based on Philip Pullman story ""The golden compass"" which is also known behind title ""Northern Lights"". Played by: Dakota Blue Richards, Nicole Kidman ...",gNiiJ0JtBOQ,The Golden Compass ,https://i.ytimg.com/vi/gNiiJ0JtBOQ/default.jpg,The Golden Compass (trailer)
25,"Official trailer to the 2005 film. Double Take: film-loving duo James King and Karen Krizanovich get up close and personal with films you haven't seen, and those ...",1TSidCNA7mQ,King Kong ,https://i.ytimg.com/vi/1TSidCNA7mQ/default.jpg,King Kong | Official Trailer (Universal Pictures) HD
26,Deep-sea explorer Brock Lovett has reached the most famous shipwreck of all - the Titanic. Emerging with a safe believed to contain a diamond called 'The ...,zCy5WQ9S4c0,Titanic ,https://i.ytimg.com/vi/zCy5WQ9S4c0/default.jpg,Titanic - Official Trailer [1997]
27,"The conflict ignites in a brand-new trailer for Marvel's ""Captain America: Civil War,"" hitting theaters May 6! ▻ Subscribe to Marvel: http://bit.ly/WeO3YJ Follow ...",dKrVegVI0Us,Captain America: Civil War ,https://i.ytimg.com/vi/dKrVegVI0Us/default.jpg,Marvel's Captain America: Civil War - Trailer 2
28,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Like us on FACEBOOK: http://goo.gl/dHs73 Follow us on ...,cp3646Zf8rg,Battleship ,https://i.ytimg.com/vi/cp3646Zf8rg/default.jpg,Trailer - Battleship Official Trailer #2 - Rihanna Movie (2012) HD
29,Jurassic World - Official Trailer (HD) The Park is Open - June 12 http://www.jurassicworldmovie.com/ Steven Spielberg returns to executive produce the ...,RFinNxS5KN4,Jurassic World ,https://i.ytimg.com/vi/RFinNxS5KN4/default.jpg,Jurassic World - Official Trailer (HD)
30,"Daniel Craig is back as Ian Fleming's James Bond 007 in Skyfall, the 23rd adventure in the longest-running film franchise of all time. In Skyfall, Bond's loyalty to ...",6kw1UVovByw,Skyfall ,https://i.ytimg.com/vi/6kw1UVovByw/default.jpg,SKYFALL - Official Trailer
31,"In Theaters: 16 July 2004 (UK) Peter Parker is an unhappy man: after two years of fighting crime as Spider-Man, his life has begun to fall apart. The girl he loves ...",enmFqm_N_ZE,Spider-Man 2 ,https://i.ytimg.com/vi/enmFqm_N_ZE/default.jpg,Spiderman 2 Trailer [HD]
32,"The trailer for Marvel's Iron Man 3, in UK and Irish cinemas NOW. Marvel's ""Iron Man 3"" pits brash-but-brilliant industrialist Tony Stark/Iron Man against an enemy ...",Ke1Y3P9D0Bc,Iron Man 3 ,https://i.ytimg.com/vi/Ke1Y3P9D0Bc/default.jpg,Iron Man 3 -- Official Trailer UK Marvel | HD
33,"From Walt Disney Pictures and visionary director Tim Burton comes an epic fantasy adventure ALICE IN WONDERLAND, a magical and imaginative twist on ...",9POCgSRVvf0,Alice in Wonderland ,https://i.ytimg.com/vi/9POCgSRVvf0/default.jpg,ALICE IN WONDERLAND | New Official Full Trailer (HQ) | Official Disney UK
34,"When a cure is found to treat mutations, lines are drawn amongst the X-Men, led by Professor Charles Xavier (Patrick Stewart), and the Brotherhood, a band of ...",dv-7FY5gm0w,X-Men: The Last Stand ,https://i.ytimg.com/vi/dv-7FY5gm0w/default.jpg,X-Men: The Last Stand (2006) - Movie Trailer [HD]
35,Watch our trailer review: http://youtu.be/wT3C8var3lM Subscribe to TRAILERS: http://bit.ly/SlsDly Subscribe to COMING SOON: http://bit.ly/TjmG9E Monsters ...,QxrQ6BaijAY,Monsters University ,https://i.ytimg.com/vi/QxrQ6BaijAY/default.jpg,Monsters University NEW Trailer (2013) - Pixar Movie HD
36,The battle for Earth continues in this action-packed blockbuster from director Michael Bay and executive producer Steven Spielberg. When college-bound Sam ...,fnXzKwUgDhg,Transformers: Revenge of the Fallen ,https://i.ytimg.com/vi/fnXzKwUgDhg/default.jpg,Transformers: Revenge of the Fallen - Trailer
37,Watch the TRAILER REVIEW: http://goo.gl/CskSQu Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Like us on ...,dYDGqmxMZFI,Transformers: Age of Extinction ,https://i.ytimg.com/vi/dYDGqmxMZFI/default.jpg,Transformers: Age of Extinction Official Trailer #1 (2014) - Michael Bay Movie HD
38,"The full trailer for Disney's fantastical adventure ""Oz The Great and Powerful"" starring James Franco, Mila Kunis, Rachel Weisz, Michelle Williams and Zach Braff.",DylgNj4YQVc,Oz the Great and Powerful ,https://i.ytimg.com/vi/DylgNj4YQVc/default.jpg,OZ THE GREAT AND POWERFUL | Full Trailer | Official Disney UK
39,"Release Date: 2 May 2014 (United States) It's great to be Spider-Man (Andrew Garfield). For Peter Parker, there's no feeling quite like swinging between ...",DlM2CWNTQ84,The Amazing Spider-Man 2 ,https://i.ytimg.com/vi/DlM2CWNTQ84/default.jpg,The Amazing Spider-Man 2 - Final Trailer (OFFICIAL)
40,Become a fan on facebook and order here: http://on.fb.me/fUYGl1 Tron: Legacy is available now on Four-Disc Blu-ray 3D/Blu-Ray and DVD Combo. Follow ...,L9szn1QQfas,TRON: Legacy ,https://i.ytimg.com/vi/L9szn1QQfas/default.jpg,TRON: LEGACY Official Trailer
41,"Order here: http://di.sn/F5 Now available on Blu-ray™ Combo Pack, Blu-ray™ 3D, DVD and Movie Download Become a fan of Cars on Facebook: ...",oFTfAdauCOo,Cars 2 ,https://i.ytimg.com/vi/oFTfAdauCOo/default.jpg,Cars 2 - Trailer 2
42,"Trailer Genre: action / comics / fantasy Regie / directed by: Martin Campbell Darsteller / cast: Ryan Reynolds , Blake Lively , Mark Strong , Peter Sarsgaard , Tim ...",_axLoYlwwmU,Green Lantern ,https://i.ytimg.com/vi/_axLoYlwwmU/default.jpg,The Green Lantern | OFFICIAL trailer #1 US (2011)
43,"Toy Story 3 is available now! Click here to order: http://bit.ly/9DyXF3 Toy Story 3, now available on Four-Disc Blu-ray/DVD Combo + Digital Copy. Become A Fan ...",JcpWXaA2qeg,Toy Story 3 ,https://i.ytimg.com/vi/JcpWXaA2qeg/default.jpg,Toy Story 3: Trailer
44,Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Like us on ...,-Czz-TcWCkA,Terminator Salvation ,https://i.ytimg.com/vi/-Czz-TcWCkA/default.jpg,"Terminator: Salvation (2009) Official Trailer - Christian Bale, Bryce Dallas Howard Movie HD"
45,"Furious 7 - Official Trailer (HD) In Theaters and IMAX April 3, 2015 http://www.furious7.com/ Continuing the global exploits in the unstoppable franchise built on ...",Skpu5HaVkOc,Furious 7 ,https://i.ytimg.com/vi/Skpu5HaVkOc/default.jpg,Furious 7 - Official Trailer (HD)
46,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn World War Z Official Trailer #1 (2013) - Brad Pitt Movie HD A U.N. ...,Md6Dvxdr0AQ,World War Z ,https://i.ytimg.com/vi/Md6Dvxdr0AQ/default.jpg,World War Z Official Trailer #1 (2013) - Brad Pitt Movie HD
47,X-MEN: DAYS OF FUTURE PAST - Official Trailer: The ultimate X-Men ensemble fights a war for the survival of the species across two time periods in X-MEN: ...,pK2zYHWDZKo,X-Men: Days of Future Past ,https://i.ytimg.com/vi/pK2zYHWDZKo/default.jpg,X-MEN: DAYS OF FUTURE PAST - Official Trailer (2014)
48,Check out the ULTIMATE TREK TRAILER:http://goo.gl/GUgxn Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Like ...,QAEkuVgt6Aw,Star Trek Into Darkness ,https://i.ytimg.com/vi/QAEkuVgt6Aw/default.jpg,Star Trek Into Darkness Official Trailer #3 (2013) - JJ Abrams Movie HD
49,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Jack The Giant Slayer Official Trailer #1 (2013) - Bryan Singer ...,ng9rjC8MOgU,Jack the Giant Slayer ,https://i.ytimg.com/vi/ng9rjC8MOgU/default.jpg,Jack The Giant Slayer Official Trailer #1 (2013) - Bryan Singer Movie HD
50,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Like us on FACEBOOK: http://goo.gl/dHs73 Follow us on ...,rARN6agiW7o,The Great Gatsby ,https://i.ytimg.com/vi/rARN6agiW7o/default.jpg,GREAT GATSBY Trailer (2012) Movie HD
51,"Click Here To Purchase: http://bit.ly/d230RB (Blu-ray/DVD Combo + Digital Copy) in stores September 14, 2010. Become a fan of PRINCE OF PERSIA on ...",bZ7Li5w2I-k,Prince of Persia: The Sands of Time ,https://i.ytimg.com/vi/bZ7Li5w2I-k/default.jpg,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER
52,"http://www.pacificrimmovie.com http://www.facebook.com/pacificrimmovie In theaters July 12th. From acclaimed filmmaker Guillermo del Toro comes ""Warner ...",5guMumPFBag,Pacific Rim ,https://i.ytimg.com/vi/5guMumPFBag/default.jpg,Pacific Rim - Official Main Trailer [HD]
53,Watch the Breaking Dawn Official Trailer - http://bit.ly/lU9AKB http://www.facebook.com/ClevverTV - Become A Fan Of ClevverTV ! Watch the new Transformers 3 ...,kHRf01Gjosk,Transformers: Dark of the Moon ,https://i.ytimg.com/vi/kHRf01Gjosk/default.jpg,Transformers 3 Dark of the Moon Trailer 3 Official (HD)
54,Indiana Jones and the Kingdom of the Crystal Skull (Trailer in Full HD),Ibc7Au8SSB0,Indiana Jones and the Kingdom of the Crystal Skull ,https://i.ytimg.com/vi/Ibc7Au8SSB0/default.jpg,Indiana Jones and the Kingdom of the Crystal Skull (Trailer in Full HD)
55,"A single moment can change everything. Tag someone who has changed your life. #GoodDino Download ""Crystals"" by Of Monsters and Men: ...",O-RgquKVTPE,The Good Dinosaur ,https://i.ytimg.com/vi/O-RgquKVTPE/default.jpg,The Good Dinosaur - Official US Trailer
56,Brave is available November 13 on Blu-ray & DVD Combo Pack and HD Digital. Pre-order your copy now: http://di.sn/h2X Like Brave on Facebook: ...,TEHWDA_6e3M,Brave ,https://i.ytimg.com/vi/TEHWDA_6e3M/default.jpg,Brave Trailer
57,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: ...",dCyv5xKIqlw,Star Trek Beyond ,https://i.ytimg.com/vi/dCyv5xKIqlw/default.jpg,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD"
58,Please add &fmt=37 or click below for HD 1080p http://ca.youtube.com/watch?v=8-_9n5DtKOc&fmt=37 HD (IMAX) Trailer clip at 1920 pixels width & 1080 pixels ...,8-_9n5DtKOc,WALL·E ,https://i.ytimg.com/vi/8-_9n5DtKOc/default.jpg,WALL-E HD 1080p Trailer
59,"Rush Hour 3 (2007) Official Trailer 2 - Jackie Chan, Chris Tucker Movie HD Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe Subscribe to TRAILERS: ...",FRDRWXfQyJE,Rush Hour 3 ,https://i.ytimg.com/vi/FRDRWXfQyJE/default.jpg,"Rush Hour 3 (2007) Official Trailer 2 - Jackie Chan, Chris Tucker Movie HD"
60,"Never before has a date in history been so significant to so many cultures, so many religions, scientists, and governments. 2012 is an epic adventure about a ...",rvI66Xaj9-o,2012 ,https://i.ytimg.com/vi/rvI66Xaj9-o/default.jpg,2012 - Full HD trailer - At UK Cinemas November 13
61,Order now. Click Here: http://bit.ly/d2dQ1Q Disney's A Christmas Carol Available on (Four-Disc Blu-ray/DVD Combo + Digital Copy and Blu-ray 3D) November ...,VZ3lr3urgDU,A Christmas Carol ,https://i.ytimg.com/vi/VZ3lr3urgDU/default.jpg,Jim Carreys A Christmas Carol Official Trailer
62,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Like us on FACEBOOK: http://goo.gl/dHs73 Follow us on ...,t4ZzMkDLjWI,Jupiter Ascending ,https://i.ytimg.com/vi/t4ZzMkDLjWI/default.jpg,"Jupiter Ascending Official Trailer #3 (2015) - Channing Tatum, MIla Kunis Movie HD"
63,Alexander Skarsgård stars in THE LEGEND OF TARZAN - in theaters July 2016. http://legendoftarzan.com http://facebook.com/legendoftarzan --- From Warner ...,Aj7ty6sViiU,The Legend of Tarzan ,https://i.ytimg.com/vi/Aj7ty6sViiU/default.jpg,The Legend of Tarzan - Official Teaser Trailer [HD]
64,Prepare to enter another world when Walt Disney Pictures and Walden Media present C.S. Lewis' timeless and beloved adventure. With the stunningly realistic ...,lWKj41HZBzM,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",https://i.ytimg.com/vi/lWKj41HZBzM/default.jpg,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe - Trailer"
65,"Following the critically acclaimed global smash hit X-Men: Days of Future Past, director Bryan Singer returns with X-MEN: APOCALYPSE. Since the dawn of ...",Jer8XjMrUB4,X-Men: Apocalypse ,https://i.ytimg.com/vi/Jer8XjMrUB4/default.jpg,X-Men: Apocalypse | Final Trailer [HD] | 20th Century FOX
66,The Dark Knight (2008) Official Trailer #1 - Christopher Nolan Movie HD Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe Subscribe to TRAILERS: ...,EXeTwQWrcwY,The Dark Knight ,https://i.ytimg.com/vi/EXeTwQWrcwY/default.jpg,The Dark Knight (2008) Official Trailer #1 - Christopher Nolan Movie HD
67,Available now: http://di.sn/dG.,pkqzFUhGPJg,Up ,https://i.ytimg.com/vi/pkqzFUhGPJg/default.jpg,UP Official Movie Trailer #3
68,"The world's most unlikely heroes are on a mission to save the Earth in DreamWorks Animation's MONSTERS VS. ALIENS -- ""The Year's Funniest Comedy"" (Pete ...",76XkslTbkjU,Monsters vs. Aliens ,https://i.ytimg.com/vi/76XkslTbkjU/default.jpg,Monsters Vs. Aliens - Trailer
69,"Paramount Pictures and Marvel Studios' big screen adaptation of Marvel's legendary Super Hero Iron Man will launch into theaters on May 2, 2008.",8hYlB38asDY,Iron Man ,https://i.ytimg.com/vi/8hYlB38asDY/default.jpg,Iron Man - Trailer [HD]
70,Hugo In Theaters November 23 http://www.HugoMovie.com http://www.facebook.com/HugoMovie.,Hv3obL9HqyY,Hugo ,https://i.ytimg.com/vi/Hv3obL9HqyY/default.jpg,"Official ""Hugo"" Trailer- In Theaters November 23"
71,Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Like us on ...,It89i3W-v4s,Wild Wild West ,https://i.ytimg.com/vi/It89i3W-v4s/default.jpg,"Wild Wild West (1999) Official Trailer - Will Smith, Salma Hayek Movie HD"
72,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe Like us on ...,5-4qSE2Ch0Y,The Mummy: Tomb of the Dragon Emperor ,https://i.ytimg.com/vi/5-4qSE2Ch0Y/default.jpg,The Mummy 3: Tomb of the Dragon Emperor Official Trailer #1 - Brendan Fraser Movie (2008) HD
73,Worst. Heroes. Ever. See SUICIDE SQUAD in theaters August 5th. http://www.suicidesquad.com http://facebook.com/SuicideSquad ...,CmRih_VtVAs,Suicide Squad ,https://i.ytimg.com/vi/CmRih_VtVAs/default.jpg,Suicide Squad - Official Trailer 1 [HD]
74,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe Like us on ...,y4BaYuoEC1I,Evan Almighty ,https://i.ytimg.com/vi/y4BaYuoEC1I/default.jpg,Evan Almighty Official Trailer #1 - Morgan Freeman Movie (2007) HD
75,"http://www.edgeoftomorrowmovie.com/ https://www.facebook.com/EdgeofTomorrowMovie In theaters June 6th. Oscar® nominee Tom Cruise (the ""Mission: ...",vw61gCe2oqI,Edge of Tomorrow ,https://i.ytimg.com/vi/vw61gCe2oqI/default.jpg,Edge of Tomorrow - Official Trailer 1 [HD]
76,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe Like us on ...,NpKbULrB9Z8,Waterworld ,https://i.ytimg.com/vi/NpKbULrB9Z8/default.jpg,Waterworld Official Trailer #1 - Kevin Costner Movie (1995) HD
77,Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Like us on ...,lDVvFUbnqEM,G.I. Joe: The Rise of Cobra ,https://i.ytimg.com/vi/lDVvFUbnqEM/default.jpg,G.I. Joe: Rise of Cobra (2009) Official Trailer - Channing Tatum Movie HD
78,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Like us on FACEBOOK: http://goo.gl/dHs73 Follow us on ...,seMwpP0yeu4,Inside Out ,https://i.ytimg.com/vi/seMwpP0yeu4/default.jpg,Inside Out Official Trailer #2 (2015) - Disney Pixar Movie HD
79,The Jungle Book Trailer 1 (2016) Scarlett Johansson Live-Action Disney Movie HD [Official Trailer],5mkm22yO-bs,The Jungle Book ,https://i.ytimg.com/vi/5mkm22yO-bs/default.jpg,The Jungle Book Official Trailer #1 (2016) Scarlett Johansson Live-Action Disney Movie HD
80,Iron Man 2 movie clips: https://www.youtube.com/playlist?list=PLZbXA4lyCtqrvzSpVOL-0RG74EjWGl5NP BUY THE ...,BoohRoVA9WQ,Iron Man 2 ,https://i.ytimg.com/vi/BoohRoVA9WQ/default.jpg,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD
81,"Snow White & the Huntsman Official Trailer #1 (2012) In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up ...",F9cBVm9gtKU,Snow White and the Huntsman ,https://i.ytimg.com/vi/F9cBVm9gtKU/default.jpg,"Snow White & the Huntsman Official Trailer #1 - Charlize Theron, Kristin Stewart (2012) HD"
82,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Like us on FACEBOOK: http://goo.gl/dHs73 Maleficent Official ...,JIIgXEGAZgE,Maleficent ,https://i.ytimg.com/vi/JIIgXEGAZgE/default.jpg,Maleficent Official Legacy Trailer (2014) - Angelina Jolie Disney Movie HD
83,Dawn of the Planet of the Apes | Official Trailer: A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the ...,3sHMCRaS3ao,Dawn of the Planet of the Apes ,https://i.ytimg.com/vi/3sHMCRaS3ao/default.jpg,Dawn of the Planet of the Apes | Official Trailer [HD] | PLANET OF THE APES
84,"SUBSCRIBE: http://bit.ly/A24subscribe Watch the official trailer for THE LOVERS, from writer/director Azazel Jacobs, starring Debra Winger and Tracy Letts.",nk-T71VhP8I,The Lovers ,https://i.ytimg.com/vi/nk-T71VhP8I/default.jpg,The Lovers | Official Trailer HD | A24
85,Watch the TRAILER REVIEW: http://goo.gl/8sH9nW Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Like us on ...,j8cKdDkkIYY,47 Ronin ,https://i.ytimg.com/vi/j8cKdDkkIYY/default.jpg,"47 Ronin Official Trailer #1 (2013) - Keanu Reeves, Rinko Kikuchi Movie HD"
86,"The First Avenger returns for an all-new cinematic adventure April 4 in Marvel's ""Captain America: The Winter Soldier""! Follow Captain America on Twitter: ...",7SlILk2WMTI,Captain America: The Winter Soldier ,https://i.ytimg.com/vi/7SlILk2WMTI/default.jpg,Marvel's Captain America: The Winter Soldier - Trailer 2 (OFFICIAL)
87,For more info on 'Shrek Forever After' visit: http://www.hollywood.com.,u7__TG7swg0,Shrek Forever After ,https://i.ytimg.com/vi/u7__TG7swg0/default.jpg,'Shrek Forever After' Trailer 1 HD
